url,doc_id,title,audience,category,language,document_version,license_or_permission
https://help.shopee.vn/4/article/77251,chinh-sach-tra-hang-hoan-tien,Chính sách Trả hàng và Hoàn tiền,buyer,returns-policy,vi,not-stated,public-source
https://help.shopee.vn/4/article/188931,quy-dinh-chung-tra-hang-hoan-tien,Những quy định chung về Trả hàng/Hoàn tiền,buyer,returns-policy,vi,not-stated,public-source
https://help.shopee.vn/4/article/189473,thoi-gian-nhan-tien-hoan,Thời gian nhận tiền hoàn và cách kiểm tra tiền hoàn,buyer,refund-timing,vi,not-stated,public-source
https://help.shopee.vn/4/article/189477,phuong-thuc-gui-hang-hoan-tra,Các phương thức gửi hàng hoàn trả và phí hoàn trả,buyer,return-shipping,vi,not-stated,public-source
https://help.shopee.vn/4/article/77262,dieu-khoan-shopee-mall,Điều Khoản Dịch Vụ của Shopee Mall,seller,mall-terms,vi,not-stated,public-source
https://help.shopee.vn/4/article/195504,dieu-khoan-nguoi-ban-shopee-mart,Điều khoản và Điều kiện Người bán tham gia Shopee Mart,seller,seller-terms,vi,not-stated,public-source
https://help.shopee.vn/4/article/77245,quy-che-hoat-dong-san,Quy chế hoạt động Sàn Thương mại điện tử Shopee.vn,both,marketplace-regulation,vi,not-stated,public-source
https://help.shopee.vn/4/article/77243,dieu-khoan-dich-vu-shopee,Điều khoản Dịch vụ Shopee,both,terms-of-service,vi,not-stated,public-source
https://help.shopee.vn/4/article/77265,quy-trinh-giai-quyet-tranh-chap,Quy trình giải quyết tranh chấp và xử lý khiếu nại,both,dispute-resolution,vi,not-stated,public-source
https://help.shopee.vn/4/article/77484,chinh-sach-van-chuyen,Chính sách Vận chuyển Shopee,both,shipping-policy,vi,not-stated,public-source
https://help.shopee.vn/4/article/79233,huong-dan-gui-yeu-cau-tra-hang,[Trả hàng/Hoàn tiền] Hướng dẫn gửi yêu cầu Trả hàng/Hoàn tiền,buyer,returns-process,vi,not-stated,public-source
https://help.shopee.vn/4/article/79467,chuan-bi-bang-chung-tra-hang,[Trả hàng/Hoàn tiền] Hướng dẫn chuẩn bị bằng chứng khi yêu cầu Trả hàng/Hoàn tiền,buyer,returns-evidence,vi,not-stated,public-source
https://help.shopee.vn/4/article/190242,quy-trinh-shopee-xu-ly-yeu-cau,[Trả hàng/Hoàn tiền] Quy trình Shopee xử lý yêu cầu Trả hàng/Hoàn tiền,buyer,returns-process,vi,not-stated,public-source
https://help.shopee.vn/4/article/79508,cach-dong-goi-don-hoan-tra,[Trả hàng/Hoàn tiền] Cách đóng gói đơn hàng hoàn trả,buyer,return-packaging,vi,not-stated,public-source
